Vendor,translation
net-snmp,net-snmp
Ambit Microsystems Corporation,ambit
Thomson Inc.,thomson
"HUAWEI Technology Co.,Ltd",huawei
"Juniper Networks, Inc.",juniper
"Brocade Communications Systems, Inc.",brocade
Nokia (formerly 'Alcatel-Lucent'),nokia
"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",brocade
"Fortinet, Inc.",fortinet
H3C,h3c
"SonicWALL, Inc.",sonicwall
Compaq,compaq
Broadcom Limited,broadcom
"Aruba, a Hewlett Packard Enterprise company",aruba
"U.C. Davis, ECE Dept. Tom",davis
Hewlett-Packard,hp
"Ericsson, Inc. (formerly 'RedBack Networks')",ericsson
FS.COM INC,fs
Sarian Systems Limited,sarian
"NetScreen Technologies, Inc.",netscreen
Dell Inc.,dell
WatchGuard Technologies Inc.,watchguard
AWIND Inc,awind
"Advantech Co., Ltd.",advantech
The FreeBSD Project,freebsd
OneAccess,oneaccess
SNMP Research,snmp
Netgear,netgear
SNMP Laboratories (formerly 'pysnmp'),pysnmp
Zeus Technology Ltd,zeus
Realtek Semiconductor corp.,realtek
American Power Conversion Corp.,apc
LANCOM Systems,lancom-systems
BinTec Communications GmbH,bintec
"Raritan Computer, Inc.",raritan
Reserved,reserved
OpenBSD Project,openbsd
"Force10 Networks, Inc.",force10
HW group s.r.o,hwgroup
Extreme Networks,extreme
ACCTON Technology,accton
Siemens AG,siemens
Microsoft,microsoft
CANON Inc.,canon
Vertiv (formerly 'Emerson Computer Power'),vertiv
VMware Inc.,vmware
Avocent Corporation,avocent
Colubris Networks Inc.,colubris
"ZPE Systems, Inc",zpesystems
Epilogue,epilogue
Opengear Inc.,opengear
"Ubiquiti Networks, Inc.",ubiquiti
3Com,3com
Packeteer Inc.,packeteer
Hewlett Packard Enterprise,hp
Netscaler,netscaler
General Instrument,generalinstrument
