saddr,saddr-raw,daddr,daddr-raw,ipid,ttl,sport,dport,seqnum,acknum,window,classification,success,repeat,cooldown,timestamp-str,timestamp-ts,timestamp-us
185.128.88.5,89686201,172.20.88.54,911742124,0,54,161,51117,3648569252,4053103793,29200,synack,1,0,1,2025-05-16T13:46:54.499+0200,1747396014,499349
185.128.88.4,72908985,172.20.88.54,911742124,0,53,161,55516,1948177224,3069866313,29200,synack,1,0,1,2025-05-16T13:46:54.499+0200,1747396014,499682
109.72.83.115,1934837869,172.20.88.54,911742124,0,54,161,59213,1543874820,1444613548,29200,synack,1,0,1,2025-05-16T13:46:54.499+0200,1747396014,499789
78.40.110.254,4268632142,172.20.88.54,911742124,19844,53,161,52357,421469111,3611675717,65535,synack,1,0,1,2025-05-16T13:46:54.499+0200,1747396014,499973
2.58.165.111,1873099266,172.20.88.54,911742124,0,53,161,37112,1441243399,1282647038,29200,synack,1,0,1,2025-05-16T13:46:54.500+0200,1747396014,500212
62.165.76.129,2169283902,172.20.88.54,911742124,35584,53,161,35236,512645914,985351358,65535,synack,1,0,1,2025-05-16T13:46:54.500+0200,1747396014,500460
62.165.76.113,1900848446,172.20.88.54,911742124,35586,53,161,43834,3686512768,3685934248,65535,synack,1,0,1,2025-05-16T13:46:54.500+0200,1747396014,500621
62.165.76.105,1766630718,172.20.88.54,911742124,35585,53,161,34902,3891493379,2528955173,65535,synack,1,0,1,2025-05-16T13:46:54.500+0200,1747396014,500722
185.128.88.4,72908985,172.20.88.54,911742124,0,53,161,55516,1948177224,3069866313,29200,synack,1,1,1,2025-05-16T13:46:54.500+0200,1747396014,500861
2.58.165.111,1873099266,172.20.88.54,911742124,0,53,161,37112,1441243399,1282647038,29200,synack,1,1,1,2025-05-16T13:46:54.500+0200,1747396014,500970
109.72.83.115,1934837869,172.20.88.54,911742124,0,54,161,59213,1543874820,1444613548,29200,synack,1,1,1,2025-05-16T13:46:54.501+0200,1747396014,501139
185.128.88.5,89686201,172.20.88.54,911742124,0,54,161,51117,3648569252,4053103793,29200,synack,1,1,1,2025-05-16T13:46:55.539+0200,1747396015,539556
78.40.110.254,4268632142,172.20.88.54,911742124,19845,53,161,52357,421469111,3611675717,65535,synack,1,1,1,2025-05-16T13:46:56.589+0200,1747396016,589146
109.72.83.115,1934837869,172.20.88.54,911742124,0,54,161,59213,1543874820,1444613548,29200,synack,1,1,1,2025-05-16T13:46:56.589+0200,1747396016,589783
2.58.165.111,1873099266,172.20.88.54,911742124,0,53,161,37112,1441243399,1282647038,29200,synack,1,1,1,2025-05-16T13:46:56.590+0200,1747396016,590193
62.165.76.129,2169283902,172.20.88.54,911742124,35587,53,161,35236,512645914,985351358,65535,synack,1,1,1,2025-05-16T13:46:56.590+0200,1747396016,590477
62.165.76.105,1766630718,172.20.88.54,911742124,35588,53,161,34902,3891493379,2528955173,65535,synack,1,1,1,2025-05-16T13:46:56.590+0200,1747396016,590749
62.165.76.113,1900848446,172.20.88.54,911742124,35589,53,161,43834,3686512768,3685934248,65535,synack,1,1,1,2025-05-16T13:46:56.591+0200,1747396016,591131
185.128.88.4,72908985,172.20.88.54,911742124,0,53,161,55516,1948177224,3069866313,29200,synack,1,1,1,2025-05-16T13:46:56.591+0200,1747396016,591400
185.128.88.5,89686201,172.20.88.54,911742124,0,54,161,51117,3648569252,4053103793,29200,synack,1,1,1,2025-05-16T13:46:57.618+0200,1747396017,618881
109.72.83.115,1934837869,172.20.88.54,911742124,0,54,161,59213,1543874820,1444613548,29200,synack,1,1,1,2025-05-16T13:47:00.738+0200,1747396020,738958
2.58.165.111,1873099266,172.20.88.54,911742124,0,53,161,37112,1441243399,1282647038,29200,synack,1,1,1,2025-05-16T13:47:00.740+0200,1747396020,740154
185.128.88.4,72908985,172.20.88.54,911742124,0,53,161,55516,1948177224,3069866313,29200,synack,1,1,1,2025-05-16T13:47:00.741+0200,1747396020,741103
185.128.88.5,89686201,172.20.88.54,911742124,0,54,161,51117,3648569252,4053103793,29200,synack,1,1,1,2025-05-16T13:47:00.741+0200,1747396020,741980
78.40.110.254,4268632142,172.20.88.54,911742124,19848,53,161,52357,421469111,3611675717,65535,synack,1,1,1,2025-05-16T13:47:02.818+0200,1747396022,818617
62.165.76.105,1766630718,172.20.88.54,911742124,35591,53,161,34902,3891493379,2528955173,65535,synack,1,1,1,2025-05-16T13:47:02.819+0200,1747396022,819751
62.165.76.113,1900848446,172.20.88.54,911742124,35592,53,161,43834,3686512768,3685934248,65535,synack,1,1,1,2025-05-16T13:47:02.820+0200,1747396022,820686
62.165.76.129,2169283902,172.20.88.54,911742124,35590,53,161,35236,512645914,985351358,65535,synack,1,1,1,2025-05-16T13:47:02.821+0200,1747396022,821685
